Course Code - Course Name,Location,Session Type
AS111 - Ashesi Success,Jackson Lab 221,Seminar
AS111 - Ashesi Success,Jackson Lab 222,Seminar
AS111 - Ashesi Success,Apt Hall 216,Seminar
AS111 - Ashesi Success,Nutor Hall 216,Seminar
AS111 - Ashesi Success,Bio Lab,Seminar
AS111 - Ashesi Success,Science Lab,Seminar
AS111 - Ashesi Success,Norton-Motulsky 207A,Seminar
AS111 - Ashesi Success,Fab Lab 103,Seminar
AS111 - Ashesi Success,Fab Lab 203,Seminar
AS111 - Ashesi Success,Fab Lab 303,Seminar
AS111 - Ashesi Success,Nutor Hall 115,Seminar
BUSA432 - Organisational Development,Radichel MPR,Lecture
BUSA432 - Organisational Development,Radichel MPR,Discussion
BUSA432 - Organisational Development,Apt Hall 216,Lecture
BUSA432 - Organisational Development,Jackson Hall 115,Discussion
BUSA132 - Organizational Behaviour,Jackson Lab 221,Lecture
BUSA132 - Organizational Behaviour,Nutor Hall 100,Discussion
BUSA132 - Organizational Behaviour,Jackson Hall 115,Lecture
BUSA161 - Foundations of Design and Entrepreneurship I,Nutor Hall 115,Lecture
BUSA161 - Foundations of Design and Entrepreneurship I,Nutor Hall 115,Discussion
BUSA161 - Foundations of Design and Entrepreneurship I,Norton-Motulsky 207B,Lecture
BUSA161 - Foundations of Design and Entrepreneurship I,Norton-Motulsky 207B,Discussion
BUSA161 - Foundations of Design and Entrepreneurship I,Fab Lab 303,Lecture
BUSA161 - Foundations of Design and Entrepreneurship I,Nutor Hall 216,Discussion
BUSA161 - Foundations of Design and Entrepreneurship I,Fab Lab 203,Lecture
BUSA161 - Foundations of Design and Entrepreneurship I,Fab Lab 203,Discussion
BUSA161 - Foundations of Design and Entrepreneurship I,Nutor Hall 216,Lecture
BUSA162 - Foundations of Design and Entrepreneurship II,Nutor Hall 115,Lecture
BUSA162 - Foundations of Design and Entrepreneurship II,Nutor Hall 115,Discussion
BUSA162 - Foundations of Design and Entrepreneurship II,Norton-Motulsky 207A,Lecture
BUSA162 - Foundations of Design and Entrepreneurship II,Norton-Motulsky 207A,Discussion
BUSA162 - Foundations of Design and Entrepreneurship II,Norton-Motulsky 207B,Lecture
BUSA162 - Foundations of Design and Entrepreneurship II,Nutor Hall 216,Discussion
BUSA162 - Foundations of Design and Entrepreneurship II,Norton-Motulsky 207B,Discussion
BUSA210 - Financial Accounting,Apt Hall 217,Lecture
BUSA210 - Financial Accounting,Radichel MPR,Discussion
BUSA210 - Financial Accounting,Norton-Motulsky 207B,Lecture
BUSA210 - Financial Accounting,Jackson Hall 116,Lecture
BUSA210 - Financial Accounting,Radichel MPR,Lecture
BUSA220 - Introduction to Finance,Jackson Hall 115,Lecture
BUSA220 - Introduction to Finance,Radichel MPR,Discussion
BUSA220 - Introduction to Finance,Nutor Hall 216,Lecture
BUSA224 - Finance for Non-finance Managers,Norton-Motulsky 207B,Lecture
BUSA224 - Finance for Non-finance Managers,Norton-Motulsky 207B,Discussion
BUSA224 - Finance for Non-finance Managers,Nutor Hall 216,Lecture
BUSA224 - Finance for Non-finance Managers,D-Lab 102,Discussion
BUSA224 - Finance for Non-finance Managers,Apt Hall 216,Discussion
BUSA304 - Operations Management,Nutor Hall 216,Lecture
BUSA304 - Operations Management,Nutor Hall 216,Discussion
BUSA304 - Operations Management,Norton-Motulsky 207B,Lecture
BUSA304 - Operations Management,Nutor Hall 115,Discussion
BUSA304 - Operations Management,Radichel MPR,Lecture
BUSA304 - Operations Management,Radichel MPR,Discussion
BUSA311 - Managerial Accounting,Radichel MPR,Lecture
BUSA311 - Managerial Accounting,Nutor Hall 216,Discussion
BUSA311 - Managerial Accounting,Nutor Hall 100,Lecture
BUSA311 - Managerial Accounting,Norton-Motulsky 207A,Discussion
BUSA321 - Investments,Norton-Motulsky 207B,Lecture
BUSA321 - Investments,Jackson Hall 116,Discussion
BUSA323 - Corporate Finance,Nutor Hall 216,Lecture
BUSA323 - Corporate Finance,Nutor Hall 216,Discussion
BUSA323 - Corporate Finance,Nutor Hall 115,Lecture
BUSA323 - Corporate Finance,Jackson Hall 115,Discussion
BUSA332 - Organisational Behavior,Norton-Motulsky 207B,Lecture
BUSA332 - Organisational Behavior,Radichel MPR,Discussion
BUSA332 - Organisational Behavior,Jackson Lab 221,Discussion
BUSA341 - Marketing,Norton-Motulsky 207B,Lecture
BUSA341 - Marketing,Databank Foundation Hall 218,Discussion
BUSA350 - International Trade and Policy,Radichel MPR,Lecture
BUSA350 - International Trade and Policy,Norton-Motulsky 207B,Discussion
BUSA350 - International Trade and Policy,Apt Hall 216,Lecture
BUSA350 - International Trade and Policy,Nutor Hall 216,Discussion
BUSA401_A - Entrepreneurship I,Nutor Hall 115,Discussion
BUSA401_A - Entrepreneurship I,Nutor Hall 115,Lecture
BUSA401_B - Entrepreneurship II,Nutor Hall 115,Seminar
BUSA401_B - Entrepreneurship II,Norton-Motulsky 207A,Lecture
BUSA402 - Business Law,Nutor Hall 115,Lecture
BUSA402 - Business Law,Nutor Hall 100,Discussion
BUSA402 - Business Law,Norton-Motulsky 207A,Lecture
BUSA402 - Business Law,Norton-Motulsky 207A,Discussion
BUSA402 - Business Law,Radichel MPR,Lecture
BUSA402 - Business Law,Norton-Motulsky 207B,Discussion
BUSA405 - Competitive Strategy,Norton-Motulsky 207A,Discussion
BUSA405 - Competitive Strategy,Apt Hall 216,Lecture
BUSA405 - Competitive Strategy,Jackson Lab 221,Discussion
BUSA411 - Applied Project I (BA),Jackson Hall 116,Seminar
BUSA411 - Applied Project I (BA),Norton-Motulsky 207A,Seminar
BUSA412 - Applied Project II (BA),Apt Hall 216,Seminar
BUSA422 - Corporate Finance,Nutor Hall 115,Lecture
BUSA422 - Corporate Finance,Nutor Hall 115,Discussion
BUSA422 - Corporate Finance,Nutor Hall 216,Lecture
BUSA422 - Corporate Finance,Nutor Hall 216,Discussion
BUSA422 - Corporate Finance,Norton-Motulsky 207B,Lecture
BUSA422 - Corporate Finance,Norton-Motulsky 207B,Discussion
BUSA423 - International Finance,Norton-Motulsky 207B,Lecture
BUSA423 - International Finance,Nutor Hall 100,Discussion
BUSA423 - International Finance,Norton-Motulsky 207A,Lecture
BUSA423 - International Finance,Jackson Hall 116,Discussion
BUSA425 - Venture Capital Investment,Nutor Hall 216,Lecture
BUSA425 - Venture Capital Investment,Apt Hall 217,Discussion
BUSA430 - Human Resource Management,Norton-Motulsky 207B,Lecture
BUSA430 - Human Resource Management,Nutor Hall 216,Discussion
BUSA431 - Real Estate Development,Databank Foundation Hall 218,Lecture
BUSA431 - Real Estate Development,Databank Foundation Hall 218,Discussion
BUSA431 - Real Estate Development,Apt Hall 216,Lecture
BUSA431 - Real Estate Development,Norton-Motulsky 207A,Discussion
BUSA433 - AI in Business: Empowering Tomorrow's Leaders,Radichel MPR,Lecture
BUSA433 - AI in Business: Empowering Tomorrow's Leaders,Radichel MPR,Discussion
BUSA442 - Strategic Brand Management,Jackson Hall 116,Lecture
BUSA442 - Strategic Brand Management,Nutor Hall 115,Discussion
BUSA442 - Strategic Brand Management,Radichel MPR,Lecture
BUSA442 - Strategic Brand Management,Jackson Lab 222,Discussion
BUSA444 - Supply Chain Management,Nutor Hall 216,Lecture
BUSA444 - Supply Chain Management,Jackson Hall 116,Discussion
BUSA444 - Supply Chain Management,Nutor Hall 100,Lecture
BUSA444 - Supply Chain Management,Jackson Lab 222,Discussion
BUSA446 - Integrated Marketing Communications,Jackson Lab 221,Discussion
BUSA446 - Integrated Marketing Communications,Apt Hall 217,Lecture
BUSA451 - Development Economics,D-Lab 102,Lecture
BUSA451 - Development Economics,Jackson Hall 115,Discussion
BUSA455 - Project Management,Norton-Motulsky 207B,Lecture
BUSA455 - Project Management,Apt Hall 217,Discussion
BUSA456 - Managerial Economics,Nutor Hall 216,Lecture
BUSA456 - Managerial Economics,Jackson Lab 221,Discussion
BUSA457 - Anti-Money Laundering,Norton-Motulsky 207A,Lecture
BUSA457 - Anti-Money Laundering,Norton-Motulsky 207A,Discussion
BUSA458 - Data Analytics for Business,Apt Hall 217,Lecture
BUSA458 - Data Analytics for Business,Science Lab,Discussion
BUSA462 - New Product Development,Nutor Hall 100,Discussion
BUSA462 - New Product Development,Apt Hall 216,Lecture
BUSA491 - Undergraduate Thesis I (BA),Nutor Hall 216,Seminar
BUSA491 - Undergraduate Thesis I (BA),Nutor Hall 115,Seminar
BUSA492 - Undergraduate Thesis II (BA),Nutor Hall 100,Seminar
CE122 - Applied Programming for Engineers,Fab Lab 303,Lecture
CE122 - Applied Programming for Engineers,Fab Lab 303,Lab
CE322 - Digital Systems Design,Fab Lab 303,Lab
CE322 - Digital Systems Design,Fab Lab 203,Lecture
CE451 - Embedded Systems,Fab Lab 203,Lab
CE451 - Embedded Systems,Fab Lab 203,Lecture
CE451 - Embedded Systems,Fab Lab 303,Lab
CS452 - Machine Learning,Fab Lab 203,Lecture
CS452 - Machine Learning,Fab Lab 203,Lab
CS452 - Machine Learning,D-Lab 102,Lecture
CS452 - Machine Learning,D-Lab 102,Lab
CS111 - Introduction to Computing and Information Systems,Jackson Lab 222,Lecture
CS111 - Introduction to Computing and Information Systems,Jackson Lab 222,Lab
CS111 - Introduction to Computing and Information Systems,Jackson Lab 221,Lecture
CS111 - Introduction to Computing and Information Systems,Jackson Lab 221,Lab
CS111 - Introduction to Computing and Information Systems,D-Lab 102,Lecture
CS111 - Introduction to Computing and Information Systems,Fab Lab 303,Lab
